BHID,FROM,TO,Au
0,7,8,0.010787255
0,25,26,0.010349242
0,28,29,0.01046631
0,36,37,0.010800405
0,39,40,0.010412672
0,53,54,0.010840007
0,55,56,0.010842077
0,57,58,0.188875037
0,58,59,0.188875037
0,59,60,0.309253485
0,60,61,0.344475055
0,61,62,0.505741075
0,62,63,0.340575175
0,63,64,0.259038806
0,64,65,0.283884532
0,65,66,0.330702235
0,66,67,0.794844254
0,67,68,0.398485447
0,68,69,0.358912986
0,69,70,0.681722347
0,70,71,1.496796833
0,71,72,0.605151875
0,72,73,0.896870022
0,73,74,0.858077455
0,74,75,0.70610795
0,75,76,0.817417662
0,76,77,0.2587179
0,77,78,0.456588985
0,78,79,0.386748867
0,79,80,0.354750661
0,80,81,0.690852042
0,81,82,0.429282117
0,82,83,0.355938328
0,83,84,0.355938328
0,84,85,1.321447993
0,85,86,0.220574721
0,86,87,0.0109594
0,101,102,0.010489222
1,2,3,0.010055791
1,4,5,0.010091658
1,31,32,0.010061288
1,37,38,0.010312737
1,40,41,0.010727412
1,45,46,0.010752766
1,48,49,0.010880694
1,50,51,0.010571941
1,51,52,0.010711418
1,54,55,0.345222621
1,55,56,0.367886435
1,56,57,1.099681024
1,57,58,0.899592505
1,58,59,1.207072927
1,59,60,1.026295075
1,60,61,1.026295075
1,61,62,0.506311129
1,62,63,0.286343511
1,63,64,0.883128493
1,64,65,0.570272421
1,65,66,1.121801763
1,66,67,0.88182362
1,67,68,1.25869899
1,68,69,1.900908329
1,69,70,1.848657056
1,70,71,1.242489776
1,71,72,1.685218603
1,72,73,0.630749837
1,73,74,0.306580781
1,74,75,0.467742593
1,75,76,0.216157775
1,76,77,0.308798197
1,77,78,0.415764265
1,78,79,0.932410673
1,79,80,0.835276885
1,80,81,0.988761134
1,81,82,1.058737466
1,82,83,2.102661409
1,83,84,1.247294727
1,84,85,0.149344143
1,94,95,0.010826522
1,97,98,0.010100995
10,44,45,0.01030034
10,52,53,0.010653053
10,59,60,0.130156529
10,60,61,0.288094508
10,61,62,0.344437716
10,62,63,0.623420387
10,63,64,0.271808257
10,64,65,0.32880622
10,65,66,0.259469686
10,66,67,0.112699218
10,67,68,0.115867023
10,68,69,0.055431359
10,69,70,0.164948694
10,70,71,0.625396475
10,71,72,0.270971616
10,72,73,0.655070661
10,73,74,0.828832396
10,74,75,0.927916036
10,75,76,1.011322221
10,76,77,1.646479595
10,77,78,0.753301728
10,89,90,0.010012214
10,94,95,0.010018863
10,112,113,0.010522324
11,5,6,0.010420433
11,37,38,0.010514059
11,55,56,0.010442276
11,58,59,0.505474962
11,59,60,1.243268725
11,60,61,1.243268725
11,61,62,0.969117321
11,62,63,1.005834374
11,63,64,0.824640917
11,64,65,0.955132345
11,65,66,1.206157516
11,66,67,1.20638257
11,67,68,2.044620566
11,68,69,1.434016861
11,69,70,1.384566453
11,70,71,0.864359637
11,71,72,0.393959991
