BHID,FROM,TO,Au
0,0,1,0
0,1,2,0
0,2,3,0
0,3,4,0
0,4,5,0
0,5,6,0
0,6,7,0
0,7,8,0
0,8,9,0
0,9,10,0
0,10,11,0
0,11,12,0
0,12,13,0
0,13,14,0
0,14,15,0
0,15,16,0
0,16,17,0
0,17,18,0
0,18,19,0
0,19,20,0
0,20,21,0
0,21,22,0
0,22,23,0
0,23,24,0
0,24,25,0
0,25,26,0
0,26,27,0
0,27,28,0
0,28,29,0
0,29,30,0
0,30,31,0
0,31,32,0
0,32,33,0
0,33,34,0
0,34,35,0
0,35,36,0
0,36,37,0
0,37,38,0
0,38,39,0
0,39,40,0
0,40,41,0
0,41,42,0
0,42,43,0
0,43,44,0
0,44,45,0
0,45,46,0
0,46,47,0
0,47,48,0
0,48,49,0
0,49,50,0
0,50,51,0
0,51,52,0
0,52,53,0
0,53,54,0
0,54,55,0
0,55,56,0
0,56,57,0
0,57,58,0.188875037
0,58,59,0.188875037
0,59,60,0.309253485
0,60,61,0.344475055
0,61,62,0.505741075
0,62,63,0.340575175
0,63,64,0.259038806
0,64,65,0.283884532
0,65,66,0.330702235
0,66,67,0.794844254
0,67,68,0.398485447
0,68,69,0.358912986
0,69,70,0.681722347
0,70,71,1.496796833
0,71,72,0.605151875
0,72,73,0.896870022
0,73,74,0.858077455
0,74,75,0.70610795
0,75,76,0.817417662
0,76,77,0.2587179
0,77,78,0.456588985
0,78,79,0.386748867
0,79,80,0.354750661
0,80,81,0.690852042
0,81,82,0.429282117
0,82,83,0.355938328
0,83,84,0.355938328
0,84,85,1.321447993
0,85,86,0.220574721
0,86,87,0
0,87,88,0
0,88,89,0
0,89,90,0
0,90,91,0
0,91,92,0
0,92,93,0
0,93,94,0
0,94,95,0
0,95,96,0
0,96,97,0
0,97,98,0
0,98,99,0
0,99,100,0
0,100,101,0
0,101,102,0
0,102,103,0
0,103,104,0
0,104,105,0
0,105,106,0
0,106,107,0
0,107,108,0
0,108,109,0
0,109,110,0
0,110,111,0
0,111,112,0
10,0,1,0
10,1,2,0
10,2,3,0
10,3,4,0
10,4,5,0
10,5,6,0
10,6,7,0
10,7,8,0
10,8,9,0
10,9,10,0
10,10,11,0
10,11,12,0
10,12,13,0
10,13,14,0
10,14,15,0
10,15,16,0
10,16,17,0
10,17,18,0
10,18,19,0
10,19,20,0
10,20,21,0
10,21,22,0
10,22,23,0
10,23,24,0
10,24,25,0
10,25,26,0
10,26,27,0
10,27,28,0
10,28,29,0
10,29,30,0
10,30,31,0
10,31,32,0
10,32,33,0
10,33,34,0
10,34,35,0
10,35,36,0
10,36,37,0
10,37,38,0
10,38,39,0
10,39,40,0
10,40,41,0
10,41,42,0
10,42,43,0
10,43,44,0
10,44,45,0
10,45,46,0
10,46,47,0
10,47,48,0
10,48,49,0
10,49,50,0
10,50,51,0
10,51,52,0
10,52,53,0
10,53,54,0
10,54,55,0
10,55,56,0
10,56,57,0
10,57,58,0
10,58,59,0
10,59,60,0.130156529
10,60,61,0.288094508
10,61,62,0.344437716
10,62,63,0.623420387
10,63,64,0.271808257
10,64,65,0.32880622
10,65,66,0.259469686
10,66,67,0.112699218
10,67,68,0.115867023
10,68,69,0.055431359
10,69,70,0.164948694
10,70,71,0.625396475
10,71,72,0.270971616
10,72,73,0.655070661
10,73,74,0.828832396
10,74,75,0.927916036
10,75,76,1.011322221
10,76,77,1.646479595
10,77,78,0.753301728
10,78,79,0
