BHID,AT,DIP,AZ
0,0,79.40524292,90
0,43.56780097,79.40524292,90
0,62.63792259,80.23332214,90
0,78.48680533,68.92250824,90
0,101.2857601,71.0753479,90
0,112.2491017,70.29202271,90
10,0,78.23171234,90
10,44.46669174,78.23171234,90
10,74.40716775,73.57781219,90
10,92.17454062,68.01755524,90
10,113.2157556,65.82855988,90
12,0,76.88356781,90
12,63.94319364,76.88356781,90
12,87.84255754,71.56505585,90
12,114.425269,65.47515869,90
13,0,80.20617676,90
13,51.53846708,80.20617676,90
13,78.73800124,70.86021423,90
13,98.43316528,70.73070526,90
15,0,78.35401917,90
15,40.43444661,78.35401917,90
15,61.25846036,76.56896973,90
15,76.74996831,72.9794693,90
17,0,80.62294006,90
17,33.39759741,80.62294006,90
17,52.03787561,81.60707092,90
17,67.2195221,77.34744263,90
19,0,76.73914337,90
19,43.53521227,76.73914337,90
19,65.6687001,74.43849182,90
19,90.72333381,70.49149323,90
21,0,78.25001526,90
21,68.91929576,78.25001526,90
21,85.51433688,75.39872742,90
21,99.17700908,73.35495758,90
23,0,83.26707458,90
23,39.13557453,83.26707458,90
23,61.21221573,79.78912354,90
23,83.71656202,73.62984467,90
25,0,84.00354004,90
25,64.58973632,84.00354004,90
25,94.51828374,82.74680328,90
27,0,83.90721893,90
27,48.31520757,83.90721893,90
27,69.6578371,80.53768158,90
27,81.61446034,73.61045837,90
29,0,81.41638184,90
29,28.93353652,81.41638184,90
29,43.64868482,78.89617157,90
29,63.19039535,75.19602203,90
3,0,81.97275543,90
3,24.2691245,81.97275543,90
3,47.62795207,77.43021393,90
3,77.14875805,71.75414276,90
3,89.48117947,64.07510376,90
31,0,80.92851257,90
31,32.52497174,80.92851257,90
31,52.29645095,79.38034821,90
33,0,84.25372314,90
33,43.13091285,84.25372314,90
33,65.57407784,78.55493927,90
35,0,83.25994873,90
35,29.89567027,83.25994873,90
35,43.15242963,75.25643158,90
35,54.08673204,77.16439056,90
37,0,79.786026,90
37,30.44138011,79.786026,90
37,51.02870417,75.96375275,90
37,69.09843776,68.99320984,90
39,0,81.57302856,90
39,29.46740142,81.57302856,90
39,45.3537466,73.72032166,90
39,60.96662236,67.64680481,90
4,0,79.93401337,90
4,52.88188882,79.93401337,90
4,76.75966943,76.94996643,90
4,99.13204505,67.31944275,90
41,0,73.35495758,90
41,27.3253444,73.35495758,90
41,40.68814584,69.91802216,90
43,0,74.74488068,90
43,33.85073267,74.74488068,90
45,0,81.4308548,90
45,39.85033334,81.4308548,90
47,0,86.27868652,90
47,33.26790714,86.27868652,90
5,0,80.33132935,90
5,42.19200584,80.33132935,90
5,62.77962407,76.58763885,90
5,75.85276009,68.57471466,90
6,0,80.11200714,90
6,34.08861876,80.11200714,90
6,50.6025712,75.96375275,90
6,67.88057407,68.00887299,90
7,0,79.25415039,90
7,42.96226707,79.25415039,90
7,56.37851309,74.68717957,90
7,73.7441943,64.79888153,90
8,0,75.0271225,90
8,27.42728707,75.0271225,90
8,41.71052545,73.71507263,90
8,64.91237535,67.35086823,90
9,0,84.7461853,90
9,26.9172599,84.7461853,90
9,47.84044832,76.3730011,90
9,64.11119464,71.2219696,90
5_a,0,80.33132935,90
5_a,42.19200584,80.33132935,90
5_a,62.77962407,76.58763885,90
5_a,75.85276009,68.57471466,90
6_a,0,80.11200714,90
6_a,34.08861876,80.11200714,90
6_a,50.6025712,75.96375275,90
6_a,67.88057407,68.00887299,90
7_a,0,79.25415039,90
7_a,42.96226707,79.25415039,90
7_a,56.37851309,74.68717957,90
7_a,73.7441943,64.79888153,90
8_a,0,75.0271225,90
8_a,27.42728707,75.0271225,90
8_a,41.71052545,73.71507263,90
8_a,64.91237535,67.35086823,90
9_a,0,84.7461853,90
9_a,26.9172599,84.7461853,90
9_a,47.84044832,76.3730011,90
9_a,64.11119464,71.2219696,90
5_b,0,80.33132935,90
5_b,42.19200584,80.33132935,90
5_b,62.77962407,76.58763885,90
5_b,75.85276009,68.57471466,90
6_b,0,80.11200714,90
6_b,34.08861876,80.11200714,90
6_b,50.6025712,75.96375275,90
6_b,67.88057407,68.00887299,90
7_b,0,79.25415039,90
7_b,42.96226707,79.25415039,90
7_b,56.37851309,74.68717957,90
7_b,73.7441943,64.79888153,90
8_b,0,75.0271225,90
8_b,27.42728707,75.0271225,90
8_b,41.71052545,73.71507263,90
8_b,64.91237535,67.35086823,90
9_b,0,84.7461853,90
9_b,26.9172599,84.7461853,90
9_b,47.84044832,76.3730011,90
9_b,64.11119464,71.2219696,90
5_c,0,80.33132935,90
5_c,42.19200584,80.33132935,90
5_c,62.77962407,76.58763885,90
5_c,75.85276009,68.57471466,90
6_c,0,80.11200714,90
6_c,34.08861876,80.11200714,90
6_c,50.6025712,75.96375275,90
6_c,67.88057407,68.00887299,90
7_c,0,79.25415039,90
7_c,42.96226707,79.25415039,90
7_c,56.37851309,74.68717957,90
7_c,73.7441943,64.79888153,90
8_c,0,75.0271225,90
8_c,27.42728707,75.0271225,90
8_c,41.71052545,73.71507263,90
8_c,64.91237535,67.35086823,90
9_c,0,84.7461853,90
9_c,26.9172599,84.7461853,90
9_c,47.84044832,76.3730011,90
9_c,64.11119464,71.2219696,90
